customerid|addressid
10000000-0000-0000-0000-000000000001|10000000-0000-0000-0000-000000000001
10000000-0000-0000-0000-000000000002|10000000-0000-0000-0000-000000000002
10000000-0000-0000-0000-000000000003|10000000-0000-0000-0000-000000000003
10000000-0000-0000-0000-000000000004|10000000-0000-0000-0000-000000000004
10000000-0000-0000-0000-000000000005|10000000-0000-0000-0000-000000000005
10000000-0000-0000-0000-000000000006|10000000-0000-0000-0000-000000000006
10000000-0000-0000-0000-000000000007|10000000-0000-0000-0000-000000000007
10000000-0000-0000-0000-000000000008|10000000-0000-0000-0000-000000000008
10000000-0000-0000-0000-000000000009|10000000-0000-0000-0000-000000000009
10000000-0000-0000-0000-000000000010|10000000-0000-0000-0000-000000000010
10000000-0000-0000-0000-000000000011|10000000-0000-0000-0000-000000000011
10000000-0000-0000-0000-000000000012|10000000-0000-0000-0000-000000000012
10000000-0000-0000-0000-000000000013|10000000-0000-0000-0000-000000000013
10000000-0000-0000-0000-000000000014|10000000-0000-0000-0000-000000000014
10000000-0000-0000-0000-000000000015|10000000-0000-0000-0000-000000000015
10000000-0000-0000-0000-000000000016|10000000-0000-0000-0000-000000000016
10000000-0000-0000-0000-000000000017|10000000-0000-0000-0000-000000000017
10000000-0000-0000-0000-000000000018|10000000-0000-0000-0000-000000000018
10000000-0000-0000-0000-000000000019|10000000-0000-0000-0000-000000000019
10000000-0000-0000-0000-000000000020|10000000-0000-0000-0000-000000000020
10000000-0000-0000-0000-000000000021|10000000-0000-0000-0000-000000000021
10000000-0000-0000-0000-000000000022|10000000-0000-0000-0000-000000000022
10000000-0000-0000-0000-000000000023|10000000-0000-0000-0000-000000000023
10000000-0000-0000-0000-000000000024|10000000-0000-0000-0000-000000000024
10000000-0000-0000-0000-000000000025|10000000-0000-0000-0000-000000000025
10000000-0000-0000-0000-000000000026|10000000-0000-0000-0000-000000000026
10000000-0000-0000-0000-000000000027|10000000-0000-0000-0000-000000000027
10000000-0000-0000-0000-000000000028|10000000-0000-0000-0000-000000000028
10000000-0000-0000-0000-000000000029|10000000-0000-0000-0000-000000000029
10000000-0000-0000-0000-000000000030|10000000-0000-0000-0000-000000000030
10000000-0000-0000-0000-000000000031|10000000-0000-0000-0000-000000000031
10000000-0000-0000-0000-000000000032|10000000-0000-0000-0000-000000000032
10000000-0000-0000-0000-000000000033|10000000-0000-0000-0000-000000000033
10000000-0000-0000-0000-000000000034|10000000-0000-0000-0000-000000000034
